            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Wind energy,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Black coal,Mining,B,Coal Mining,06,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Supply,Production of Energy,Brown coal,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
