            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Use,Natural Input,Wind energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Total use by industry,,Total use by industry Total,,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Use,Natural Input,Brown coal,Total use by industry,,Total use by industry Total,,PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Use,Natural Input,Coke,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Total use by industry,,Total use by industry Total,,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Use,Natural Input,LNG,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Total use by industry,,Total use by industry Total,,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Use,Natural Input,Petrol,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Total use by industry,,Total use by industry Total,,PJ,175,158,165,172,199,183,183,181,176,168,162,161,138,132,113,112
Use,Natural Input,Biofuels,Total use by industry,,Total use by industry Total,,PJ,11,11,9,10,11,15,20,23,26,28,26,29,28,23,22,23
Use,Natural Input,Wood and wood waste,Total use by industry,,Total use by industry Total,,PJ,105,103,100,99,99,99,89,88,85,83,91,93,92,96,98,94
Use,Natural Input,Bagasse,Total use by industry,,Total use by industry Total,,PJ,95,101,108,109,111,111,65,93,83,85,95,90,103,103,110,100
Use,Natural Input,Electricity,Total use by industry,,Total use by industry Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Total use by industry,,Total use by industry Total,,PJ,59,59,56,58,52,43,43,49,61,51,66,66,48,55,59,58
Use,Natural Input,Solar energy ,Total use by industry,,Total use by industry Total,,PJ,3,3,3,3,6,7,9,12,17,22,27,29,35,40,45,53
Use,Natural Input,Wind energy,Total use by industry,,Total use by industry Total,,PJ,3,3,3,6,9,11,14,18,22,25,29,37,41,44,45,55
Use,Natural Input,Uranium,Total use by industry,,Total use by industry Total,,PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Use,Natural Input,Black coal,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Consumption by households,,Consumption by households Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Consumption by government ,,Consumption by government Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Accumulation,,Accumulation Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Black coal,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Brown coal,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coke,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Coal by-products,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Briquettes,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Natural gas,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LNG,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Crude oil and feedstocks,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Petrol,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Diesel,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Other refined fuels and products,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,LPG,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Biofuels,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wood and wood waste,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Bagasse,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Electricity,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Hydro energy,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Solar energy ,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Wind energy,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural Input,Uranium,Exports,,Exports Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Black coal,Total use,,Total,,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Use,Natural input,Brown coal,Total use,,Total,,PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Use,Natural input,Coke,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Coal by-products,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Briquettes,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Natural gas,Total use,,Total,,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Use,Natural input,LNG,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Crude oil and feedstocks,Total use,,Total,,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Use,Natural input,Petrol,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Diesel,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Other refined fuels and products,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,LPG,Total use,,Total,,PJ,175,158,165,172,199,183,183,181,176,168,162,161,138,132,113,112
Use,Natural input,Biofuels,Total use,,Total,,PJ,11,11,9,10,11,15,20,23,26,28,26,29,28,23,22,23
Use,Natural input,Wood and wood waste,Total use,,Total,,PJ,105,103,100,99,99,99,89,88,85,83,91,93,92,96,98,94
Use,Natural input,Bagasse,Total use,,Total,,PJ,95,101,108,109,111,111,65,93,83,85,95,90,103,103,110,100
Use,Natural input,Electricity,Total use,,Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural input,Hydro energy,Total use,,Total,,PJ,59,59,56,58,52,43,43,49,61,51,66,66,48,55,59,58
Use,Natural input,Solar energy ,Total use,,Total,,PJ,3,3,3,3,6,7,9,12,17,22,27,29,35,40,45,53
Use,Natural input,Wind energy,Total use,,Total,,PJ,3,3,3,6,9,11,14,18,22,25,29,37,41,44,45,55
Use,Natural input,Uranium,Total use,,Total,,PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Use,Transformation of Energy Products,Black Coal,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Brown coal,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Coke,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Coal by-products,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Briquettes,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Natural gas,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,LNG,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Crude oil and feedstocks,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Petrol,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Transformation of Energy Products,Diesel,"Agriculture, forestry and fishing",A,"Agriculture, forestry and fishing Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
