"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Hydro energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Mining,B,Other Mining,"08,09,10",PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Supply,Total,Mining,B,Other Mining,"08,09,10",PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Supply,Black coal,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Liquefied natural gas,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Crude oil and feedstocks,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Petrol,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Diesel,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Other refined fuels and products,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,LPG,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Biofuels,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,3,3,2,3,3,4,5,6,7,7,7,8,7,6,5,5
Supply,Wood and Wood waste,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Bagasse,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,95,101,108,109,111,111,65,93,83,85,95,90,103,103,110,100
Supply,Electricity,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Hydro energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Solar energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Wind energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Uranium,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Total,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,98,104,111,112,114,115,71,99,90,92,102,98,110,109,115,106
Supply,Black coal,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Brown coal,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coke,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Coal by-products,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Briquettes,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Natural gas,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
