"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Use,Briquettes,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Liquefied natural gas,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Diesel,Mining,B,Coal Mining,06,PJ,61,64,68,69,70,74,76,78,83,89,101,103,97,103,112,121
Use,Other refined fuels and products,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,1,2,1,1,1,1,1,1,1,-
Use,LPG,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Mining,B,Coal Mining,06,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Wood and Wood waste,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Mining,B,Coal Mining,06,PJ,17,18,18,18,19,19,20,19,20,20,22,23,23,23,23,22
Use,Hydro energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Mining,B,Coal Mining,06,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Mining,B,Coal Mining,06,PJ,79,82,87,88,90,95,97,100,106,113,127,131,125,128,136,144
Use,Black coal,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Mining,B,Oil and Gas Extraction,07,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Coal by-products,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Mining,B,Oil and Gas Extraction,07,PJ,13,14,14,12,20,24,31,30,31,35,26,27,28,66,59,59
Use,Liquefied natural gas,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Mining,B,Oil and Gas Extraction,07,PJ,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
Use,Petrol,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Diesel,Mining,B,Oil and Gas Extraction,07,PJ,8,8,8,9,9,9,9,10,10,11,10,11,9,13,9,8
Use,Other refined fuels and products,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Mining,B,Oil and Gas Extraction,07,PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Wood and Wood waste,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Mining,B,Oil and Gas Extraction,07,PJ,7,7,8,10,11,11,10,11,13,13,13,18,20,31,39,45
Use,Hydro energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Mining,B,Oil and Gas Extraction,07,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Mining,B,Oil and Gas Extraction,07,PJ,31,33,33,32,42,46,52,53,55,61,51,58,60,112,108,114
Use,Black coal,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Mining,B,Other Mining,"08,09,10",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Coal by-products,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Mining,B,Other Mining,"08,09,10",PJ,7,8,7,6,10,11,13,13,13,18,47,48,48,70,64,63
Use,Liquefied natural gas,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Diesel,Mining,B,Other Mining,"08,09,10",PJ,76,79,83,85,86,92,93,96,102,110,115,120,139,145,150,152
Use,Other refined fuels and products,Mining,B,Other Mining,"08,09,10",PJ,2,2,3,3,3,4,3,4,4,6,7,8,6,-,-,5
Use,LPG,Mining,B,Other Mining,"08,09,10",PJ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
Use,Biofuels,Mining,B,Other Mining,"08,09,10",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Wood and Wood waste,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Mining,B,Other Mining,"08,09,10",PJ,28,30,30,38,37,37,43,45,53,54,60,64,65,66,68,70
Use,Hydro energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Mining,B,Other Mining,"08,09,10",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Mining,B,Other Mining,"08,09,10",PJ,116,122,125,136,138,146,156,160,175,190,230,243,259,282,283,292
Use,Black coal,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,12,11,11,12,12,12,12,11,12,9,8,7,7,8,7,7
Use,Brown coal,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,7,4,5,4,3,3,2,3,3,2,2,2,-,-,-,-
Use,Natural gas,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,34,35,37,36,36,36,37,36,38,40,39,40,42,41,39,40
Use,Liquefied natural gas,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,Petrol,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Diesel,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4
Use,Other refined fuels and products,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
Use,LPG,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Use,Biofuels,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Wood and Wood waste,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,2,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2
Use,Bagasse,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,15,15,15,15,16,16,16,16,16,16,18,18,18,20,18,19
Use,Hydro energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Manufacturing,C,"Food, beverages, textiles","11,12,13",PJ,78,75,82,81,78,80,81,80,83,82,82,81,82,84,77,79
Use,Black coal,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,6,6,7,7,6,5,5,4,3,3,4,3,3,3,3,3
Use,Brown coal,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,19,20,22,22,22,22,17,17,16,14,12,11,12,12,12,12
Use,Liquefied natural gas,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Diesel,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Use,Other refined fuels and products,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2
Use,LPG,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
Use,Biofuels,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Wood and Wood waste,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,23,23,23,24,26,27,21,22,23,22,19,20,20,22,22,21
Use,Bagasse,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,10,11,11,11,11,11,11,11,12,11,11,11,12,12,13,13
Use,Hydro energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,61,62,64,65,68,68,56,58,57,53,52,51,52,54,56,54
Use,Black coal,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,4,4,5,5,5,5,6,6,6,6,7,6,7,6,6,6
Use,Brown coal,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Coal by-products,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Briquettes,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,106,109,100,102,96,106,103,117,115,114,124,135,134,128,123,124
Use,Liquefied natural gas,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,60,63,60,63,63,63,63,65,60,55,53,45,40,49,46,50
Use,Petrol,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,Diesel,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,1,1,1,1,1,1,1,1,1,2,1,2,1,2
Use,Other refined fuels and products,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-
Use,Bagasse,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-
Use,Electricity,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,25,23,24,24,25,25,24,25,22,22,22,21,20,19,19,18
Use,Hydro energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,198,203,193,199,193,203,199,219,207,203,210,211,204,206,196,201
Use,Black coal,Manufacturing,C,Iron and steel,"211,212",PJ,43,48,47,44,44,47,6,6,3,4,5,3,3,3,-,-
Use,Brown coal,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Manufacturing,C,Iron and steel,"211,212",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Coal by-products,Manufacturing,C,Iron and steel,"211,212",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Briquettes,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-
Use,Natural gas,Manufacturing,C,Iron and steel,"211,212",PJ,23,23,25,24,26,27,23,19,16,18,15,14,15,15,14,15
Use,Liquefied natural gas,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
Use,Diesel,Manufacturing,C,Iron and steel,"211,212",PJ,2,2,2,2,2,2,2,2,2,3,1,1,4,5,4,4
Use,Other refined fuels and products,Manufacturing,C,Iron and steel,"211,212",PJ,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,1
Use,LPG,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2
Use,Biofuels,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Manufacturing,C,Iron and steel,"211,212",PJ,20,20,22,21,23,23,22,22,25,22,20,20,31,32,31,33
Use,Hydro energy,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Manufacturing,C,Iron and steel,"211,212",PJ,120,127,130,125,130,136,58,55,53,51,47,44,61,62,55,61
Use,Black coal,Manufacturing,C,Non-ferrous metals,"213,214",PJ,52,53,59,59,61,64,61,57,48,49,61,64,64,69,70,70
Use,Brown coal,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Manufacturing,C,Non-ferrous metals,"213,214",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Coal by-products,Manufacturing,C,Non-ferrous metals,"213,214",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Briquettes,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Manufacturing,C,Non-ferrous metals,"213,214",PJ,132,137,148,150,161,158,155,146,148,162,159,164,147,144,141,138
Use,Liquefied natural gas,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Diesel,Manufacturing,C,Non-ferrous metals,"213,214",PJ,2,2,2,2,2,2,2,2,2,3,6,8,3,3,3,3
Use,Other refined fuels and products,Manufacturing,C,Non-ferrous metals,"213,214",PJ,52,52,53,54,51,54,48,51,70,79,66,60,38,34,28,30
Use,LPG,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Use,Wood and Wood waste,Manufacturing,C,Non-ferrous metals,"213,214",PJ,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2
Use,Bagasse,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Manufacturing,C,Non-ferrous metals,"213,214",PJ,207,210,215,214,225,224,231,238,227,226,214,209,201,199,189,191
Use,Hydro energy,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Manufacturing,C,Non-ferrous metals,"213,214",PJ,450,460,483,484,506,510,503,499,501,524,512,510,459,453,437,437
Use,Black coal,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,31,31,30,30,31,32,26,26,26,24,23,21,20,19,20,19
Use,Brown coal,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Coal by-products,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
Use,Briquettes,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,66,67,64,59,71,67,70,71,76,66,65,60,60,59,55,54
Use,Liquefied natural gas,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,3,3,3,3,3,3,3,3,3,3,5,5,3,4,3,3
Use,Diesel,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,8,8,9,9,9,10,10,10,11,11,12,11,13,11,16,15
Use,Other refined fuels and products,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,4,3,3,3,3,5,5,5,5,5,1,2,2,2,2,2
Use,LPG,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1
Use,Biofuels,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,2,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-
Use,Wood and Wood waste,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3
Use,Bagasse,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,15,15,15,15,16,16,16,16,16,16,16,16,14,15,15,16
Use,Hydro energy,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,131,132,128,123,137,137,135,136,141,131,126,119,115,114,115,114
Use,Black coal,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Liquefied natural gas,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,1,1,1,1,-,1,-,-,1,1
Use,Petrol,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-
Use,Diesel,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Other refined fuels and products,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
