            Australian Bureau of Statistics,Input,Commodity,Measure or Industry division (ANZSIC),Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Black coal,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Administrative and support services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Public administration and safety,PJ,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
Supply,Production of Energy,Hydro energy,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Public administration and safety,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Education and training,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Health care and social assistance,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Arts and recreation services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Other services,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Total Industry Production,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Supply,Production of Energy,Brown coal,Total Industry Production,PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Supply,Production of Energy,Coke,Total Industry Production,PJ,89,96,95,91,91,91,68,85,91,81,85,79,72,73,71,68
Supply,Production of Energy,Coal by-products,Total Industry Production,PJ,68,65,72,74,70,71,58,68,70,55,52,49,45,44,46,44
Supply,Production of Energy,Briquettes,Total Industry Production,PJ,11,4,7,8,7,6,6,6,6,6,5,5,1,0,0,0
Supply,Production of Energy,Natural gas,Total Industry Production,PJ,"1,462","1,463","1,638","1,725","1,910","1,977","2,083","2,190","2,398","2,273","2,605","2,691","2,777","3,500","4,233","4,824"
Supply,Production of Energy,LNG,Total Industry Production,PJ,426,431,576,654,780,744,838,987,"1,102","1,041","1,298","1,284","1,383","2,016","2,855","3,376"
Supply,Production of Energy,Crude oil and feedstocks,Total Industry Production,PJ,"1,233","1,032",941,860,"1,036",963,"1,093","1,069","1,015",935,838,780,726,701,621,589
Supply,Production of Energy,Petrol,Total Industry Production,PJ,613,594,613,565,606,584,587,574,569,533,534,497,436,398,378,390
Supply,Production of Energy,Diesel,Total Industry Production,PJ,515,499,510,397,428,470,473,452,498,494,499,481,442,347,335,355
Supply,Production of Energy,Other refined fuels and products,Total Industry Production,PJ,509,540,521,469,489,492,463,427,508,604,555,510,462,381,393,399
Supply,Production of Energy,LPG,Total Industry Production,PJ,175,158,165,172,199,183,183,181,176,168,162,161,138,132,113,112
Supply,Production of Energy,Biofuels,Total Industry Production,PJ,11,11,9,10,11,15,20,23,26,28,26,29,28,23,22,23
Supply,Production of Energy,Wood and wood waste,Total Industry Production,PJ,105,103,100,99,99,99,89,88,85,83,91,93,92,96,98,94
Supply,Production of Energy,Bagasse,Total Industry Production,PJ,95,101,108,109,111,111,65,93,83,85,95,90,103,103,110,100
Supply,Production of Energy,Electricity,Total Industry Production,PJ,799,827,822,837,874,875,891,909,911,900,887,887,899,917,919,930
Supply,Production of Energy,Hydro energy,Total Industry Production,PJ,59,59,56,58,52,43,43,49,61,51,66,66,48,55,59,58
Supply,Production of Energy,Solar energy ,Total Industry Production,PJ,3,3,3,3,6,7,9,12,17,22,27,29,35,40,45,53
Supply,Production of Energy,Wind energy,Total Industry Production,PJ,3,3,3,6,9,11,14,18,22,25,29,37,41,44,45,55
Supply,Production of Energy,Uranium,Total Industry Production,PJ,"4,311","4,497","5,154","4,710","4,480","4,757","4,854","3,319","3,355","3,602","4,209","2,795","3,053","3,603","3,429","3,127"
Supply,Production of Energy,Residuals,Total Industry Production,PJ,"1,768","1,775","1,854","1,960","2,041","1,974","2,140","2,074","2,087","1,993","1,944","1,886","1,912","1,947","2,006","1,960"
Supply,Production of Energy,Black coal,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Of which direct extraction by households,PJ,43,41,40,38,37,36,34,33,31,31,31,30,29,29,29,28
Supply,Production of Energy,Bagasse,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Of which direct extraction by households,PJ,3,3,3,3,6,7,9,12,17,22,27,29,34,38,43,49
Supply,Production of Energy,Wind energy,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Supply,Production of Energy,Uranium,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Of which direct extraction by households,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Imports,PJ,0,0,0,24,109,103,121,106,111,97,116,117,104,113,103,93
Supply,Production of Energy,LNG,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Imports,PJ,"1,082",909,"1,008",945,981,"1,015",940,"1,056","1,229","1,141","1,160","1,096",957,768,788,868
Supply,Production of Energy,Petrol,Imports,PJ,61,114,110,128,103,124,144,138,107,131,132,129,194,233,243,223
Supply,Production of Energy,Diesel,Imports,PJ,63,131,153,237,211,289,319,335,341,434,484,526,587,687,716,778
Supply,Production of Energy,Other refined fuels and products,Imports,PJ,59,101,108,114,155,193,208,210,196,195,200,211,233,294,293,316
Supply,Production of Energy,LPG,Imports,PJ,8,21,15,16,20,26,27,29,24,28,25,20,26,25,27,23
Supply,Production of Energy,Biofuels,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Imports,PJ,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Imports,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Brown coal,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coke,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Coal by-products,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Briquettes,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Natural gas,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LNG,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Crude oil and feedstocks,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Petrol,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Diesel,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Other refined fuels and products,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,LPG,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Biofuels,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wood and wood waste,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Bagasse,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Electricity,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Hydro energy,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Solar energy ,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Wind energy,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Uranium,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Residuals,Flows from the environment,PJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply,Production of Energy,Black coal,Total supply,PJ,"7,287","7,535","8,055","8,141","8,632","8,651","9,009","9,759","9,244","9,885","10,902","11,807","12,288","12,157","12,162","12,370"
Supply,Production of Energy,Brown coal,Total supply,PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Supply,Production of Energy,Coke,Total supply,PJ,89,96,95,91,91,91,68,85,91,81,85,79,72,73,71,68
Supply,Production of Energy,Coal by-products,Total supply,PJ,68,65,72,74,70,71,58,68,70,55,52,49,45,44,46,44
Supply,Production of Energy,Briquettes,Total supply,PJ,11,4,7,8,7,6,6,6,6,6,5,5,1,0,0,0
Supply,Production of Energy,Natural gas,Total supply,PJ,"1,462","1,463","1,638","1,749","2,019","2,080","2,204","2,296","2,509","2,370","2,722","2,808","2,881","3,613","4,336","4,918"
Supply,Production of Energy,LNG,Total supply,PJ,426,431,576,654,780,744,838,987,"1,102","1,041","1,298","1,284","1,383","2,016","2,855","3,376"
Supply,Production of Energy,Crude oil and feedstocks,Total supply,PJ,"2,315","1,942","1,949","1,805","2,017","1,978","2,033","2,125","2,245","2,076","1,998","1,876","1,683","1,469","1,409","1,457"
Supply,Production of Energy,Petrol,Total supply,PJ,674,708,723,693,709,708,731,711,676,663,666,626,630,631,621,614
Supply,Production of Energy,Diesel,Total supply,PJ,579,629,663,634,638,759,792,788,839,928,983,"1,007","1,029","1,034","1,051","1,133"
Supply,Production of Energy,Other refined fuels and products,Total supply,PJ,568,641,628,583,645,685,670,637,704,798,755,721,695,675,686,715
Supply,Production of Energy,LPG,Total supply,PJ,183,180,180,189,219,209,210,210,200,196,187,180,164,156,141,135
Supply,Production of Energy,Biofuels,Total supply,PJ,11,11,9,10,11,15,20,23,26,28,26,29,28,23,22,23
Supply,Production of Energy,Wood and wood waste,Total supply,PJ,105,103,100,99,99,99,89,88,85,83,91,93,92,96,98,94
