Date,Sex,Location,Employed full-time ('000),Employed part-time ('000),Black coal,Brown coal,Crude oil,Condensate,LPG,Natural Gas,Uranium
2003,Females,QLD,0.80779627,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0,0.13727241,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,SA,0.1219023,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,3.47574792,0.56868693,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,WA,0.85583809,0.16808751,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,TAS,0.16934204,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NT,0.37218344,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,2.62529003,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NSW,11.40971198,0.8003959,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,3.15481289,0.66378879,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,VIC,3.42410172,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,2.12841868,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,QLD,12.60039336,0.53401099,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,1.96640951,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,SA,4.24746167,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,15.82985554,0.1767026,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,WA,12.82620832,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,0.09443033,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,TAS,1.43727864,0.11150576,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NT,1.79551049,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Males,NT,0.18315786,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
2003,Females,NSW,0.36073567,0,"4,785",600,"29,029","21,732","8,629","24,754",34.0
